dut_speed,dut_decel,dut_dist,foe_speed,foe_dist,envelope_id
45.0,9.3,41.0,48.0,59.0,1
43.0,9.4,40.0,49.0,63.0,1
44.0,9.0,40.0,50.0,60.0,1
43.0,9.0,40.0,50.0,61.0,1
43.0,9.3,43.0,49.0,60.0,1
45.0,9.100000000000001,41.0,49.0,60.0,1
43.0,9.3,43.0,49.0,62.0,1
43.0,9.2,44.0,49.0,60.0,1
44.0,9.3,40.0,48.0,62.0,1
44.0,9.3,42.0,48.0,58.0,1
43.0,9.3,44.0,49.0,59.0,1
44.0,9.100000000000001,41.0,49.0,59.0,1
44.0,9.0,42.0,49.0,60.0,1
43.0,9.3,43.0,49.0,62.0,1
42.0,9.2,42.0,50.0,62.0,1
45.0,9.2,40.0,48.0,62.0,1
43.0,9.100000000000001,43.0,50.0,61.0,1
43.0,9.100000000000001,43.0,50.0,61.0,1
43.0,9.2,43.0,49.0,62.0,1
43.0,9.3,43.0,49.0,62.0,1
44.0,9.2,43.0,48.0,60.0,1
43.0,9.2,42.0,49.0,63.0,1
43.0,9.100000000000001,42.0,50.0,58.0,1
43.0,9.100000000000001,38.0,49.0,59.0,1
43.0,9.100000000000001,41.0,49.0,58.0,1
43.0,9.100000000000001,42.0,49.0,58.0,1
43.0,8.8,44.0,49.0,56.0,1
43.0,8.8,39.0,50.0,58.0,1
44.0,9.100000000000001,45.0,49.0,57.0,1
42.0,9.100000000000001,40.0,48.0,58.0,1
43.0,9.100000000000001,43.0,48.0,57.0,1
43.0,9.100000000000001,44.0,48.0,57.0,1
44.0,9.0,46.0,47.0,56.0,1
43.0,9.0,42.0,47.0,57.0,1
43.0,9.0,44.0,47.0,56.0,1
43.0,9.0,43.0,47.0,56.0,1
42.0,8.9,40.0,46.0,59.0,1
44.0,9.0,43.0,46.0,56.0,1
44.0,9.100000000000001,43.0,46.0,55.0,1
44.0,9.2,43.0,47.0,55.0,1
42.0,9.100000000000001,41.0,46.0,57.0,1
44.0,9.0,43.0,46.0,56.0,1
44.0,8.9,43.0,47.0,57.0,1
44.0,8.9,43.0,46.0,57.0,1
42.0,8.9,40.0,46.0,57.0,1
44.0,9.0,43.0,46.0,56.0,1
44.0,9.100000000000001,43.0,46.0,57.0,1
44.0,9.100000000000001,42.0,47.0,58.0,1
42.0,8.9,41.0,46.0,58.0,1
44.0,9.0,43.0,46.0,56.0,1
44.0,9.100000000000001,42.0,46.0,56.0,1
44.0,9.2,42.0,47.0,56.0,1
42.0,8.9,41.0,46.0,58.0,1
44.0,9.0,43.0,46.0,56.0,1
44.0,9.100000000000001,42.0,46.0,56.0,1
44.0,9.100000000000001,42.0,47.0,56.0,1
43.0,8.7,44.0,47.0,57.0,1
45.0,8.9,42.0,47.0,58.0,1
45.0,9.0,42.0,47.0,56.0,1
45.0,9.100000000000001,43.0,47.0,56.0,1
42.0,8.9,40.0,46.0,56.0,1
16.0,9.4,22.0,36.0,86.0,100
39.0,3.5,42.0,42.0,95.0,100
27.0,5.800000000000001,62.0,48.0,5.0,100
50.0,8.100000000000001,82.0,14.0,14.0,100
5.0,4.3,6.0,20.0,23.0,100
28.0,6.6,26.0,26.0,32.0,100
16.0,8.9,46.0,31.0,41.0,100
39.0,5.0,66.0,37.0,50.0,100
11.0,7.4,86.0,43.0,59.0,100
33.0,9.7,10.0,49.0,68.0,100
22.0,3.7,30.0,15.0,77.0,100
44.0,6.1,50.0,21.0,87.0,100
8.0,8.4,70.0,27.0,96.0,100
30.0,4.5,90.0,32.0,6.0,100
19.0,6.800000000000001,14.0,38.0,15.0,100
42.0,9.2,34.0,44.0,24.0,100
14.0,5.300000000000001,54.0,49.0,33.0,100
36.0,7.6000000000000005,74.0,10.0,42.0,100
25.0,10.0,94.0,16.0,51.0,100
47.0,3.1,18.0,22.0,60.0,100
6.0,5.4,38.0,28.0,69.0,100
29.0,7.7,58.0,33.0,78.0,100
18.0,3.8,78.0,39.0,87.0,100
40.0,6.2,98.0,45.0,97.0,100
12.0,8.5,3.0,11.0,6.0,100
35.0,4.6,23.0,17.0,16.0,100
23.0,7.0,43.0,23.0,25.0,100
46.0,9.3,63.0,28.0,34.0,100
9.0,3.3,83.0,34.0,43.0,100
32.0,5.7,7.0,40.0,52.0,100
21.0,8.0,27.0,45.0,61.0,100
43.0,4.1,47.0,12.0,70.0,100
15.0,6.4,67.0,18.0,79.0,100
37.0,8.8,87.0,23.0,88.0,100
26.0,4.9,11.0,29.0,97.0,100
49.0,7.2,31.0,35.0,7.0,100
6.0,9.600000000000001,51.0,41.0,16.0,100
28.0,3.6,71.0,46.0,25.0,100
17.0,5.9,91.0,13.0,35.0,100
40.0,8.3,15.0,19.0,44.0,100
11.0,4.4,35.0,24.0,53.0,100
34.0,6.7,55.0,30.0,62.0,100
23.0,9.0,75.0,36.0,71.0,100
45.0,5.1,95.0,41.0,80.0,100
9.0,7.5,19.0,47.0,89.0,100
31.0,9.8,39.0,14.0,98.0,100
20.0,3.2,59.0,19.0,8.0,100
42.0,5.5,79.0,25.0,17.0,100
14.0,7.800000000000001,99.0,31.0,26.0,100
37.0,3.9,3.0,36.0,35.0,100
25.0,6.300000000000001,23.0,42.0,44.0,100
48.0,8.600000000000001,43.0,48.0,54.0,100
7.0,4.7,63.0,14.0,63.0,100
30.0,7.0,83.0,20.0,72.0,100
18.0,9.4,7.0,26.0,81.0,100
41.0,3.4,27.0,32.0,90.0,100
13.0,5.7,47.0,37.0,99.0,100
35.0,8.100000000000001,67.0,43.0,9.0,100
24.0,4.2,87.0,49.0,18.0,100
47.0,6.5,11.0,15.0,27.0,100
10.0,8.9,31.0,21.0,36.0,100
33.0,5.0,51.0,27.0,45.0,100
